Entity,Log of Terrestrial Protected areas,Log of Venom Encounters,Log of Total Endemic Species + 1,Log of Population Density
Afghanistan,-2.256588973,5.559588308,1.386294361,4.018103168
Albania,2.875601846,5.162822382,0,4.6527281
Algeria,2.014244141,5.281902072,1.386294361,2.855187616
American Samoa,2.763027202,5.593497354,0,5.627926822
Andorra,3.285701408,4.235298274,0,5.098789044
Angola,1.941819895,5.567313015,3.951243719,3.174570893
Antigua and Barbuda,2.921529803,4.583495352,0.693147181,5.379321151
Argentina,2.175688943,4.719507748,4.983606622,2.778458387
Armenia,3.140287181,5.058920641,1.098612289,4.638941545
Australia,2.95832228,5.607434047,6.889591308,1.162638622
Austria,3.346318074,4.306159797,0,4.669189683
Azerbaijan,2.317978565,4.938269054,0,4.780876088
Bahamas,3.600967149,4.526406495,2.397895273,3.641178731
Bahrain,1.890359355,5.104360907,0,7.557725263
Bangladesh,1.527351728,6.863881125,0,7.112119752
Barbados,0.239102089,4.613075884,0.693147181,6.50076226
Belarus,2.235749894,5.469628687,0,3.845707607
Belgium,3.148167609,4.36960095,0,5.928699705
Belize,3.629112612,4.890860217,1.386294361,2.801791524
Benin,3.388563618,5.544788731,0,4.596189934
Bermuda,0.732328962,4.407639131,1.791759469,7.075667969
Bhutan,3.871364561,6.526652192,1.098612289,2.972771166
Bolivia,3.42963878,4.620710899,4.753590191,2.335263512
Bosnia and Herzegovina,0.3332539,5.187356318,0,4.181433898
Botswana,3.372222893,5.479976298,0,1.358634255
Brazil,3.381663419,4.103663423,6.952728645,3.213502928
Brunei,3.847423037,5.127962826,0.693147181,4.388836884
Bulgaria,3.546842855,5.077092354,0,4.17715355
Burkina Faso,2.702895643,5.727556301,0,4.250646019
Burundi,2.027025473,5.847955459,1.098612289,6.044086738
Cambodia,3.259161974,4.256840257,2.197224577,4.507497956
Cameroon,2.360905548,5.469521496,4.454347296,3.950639409
Canada,2.270637555,5.036319986,1.791759469,1.405158534
Cape Verde,1.063068143,5.397835857,1.945910149,4.893160524
Central African Republic,2.893966634,5.806192081,2.397895273,1.998432228
Chad,3.013298864,5.56988144,0.693147181,2.478690379
Chile,2.917470916,4.443535647,4.248495242,3.21251482
China,2.737546992,3.830479751,6.447305863,4.991128144
Colombia,2.695097058,4.567300421,6.380122537,3.786069222
Comoros,2.317615003,5.839000171,3.258096538,6.080711244
Congo,3.707162221,5.574909004,1.791759469,2.705744177
Uzbekistan,1.216458645,5.078669269,0,4.297453859
Vanuatu,1.435211152,5.782818445,2.772588722,3.153622583
Venezuela,3.991650386,4.715818649,5.645446898,3.50658556
Vietnam,2.025088291,4.031768414,4.762173935,5.720621474
Yemen,-0.258843296,5.459256417,3.17805383,3.965003247
Zambia,3.634159518,5.647941618,2.397895273,3.121099231
Zimbabwe,3.303753049,5.70502691,1.098612289,3.605534301
Mauritania,-0.474834135,5.462656199,0.693147181,1.424317916
Mauritius,1.552949846,3.823558969,3.526360525,6.434485632
Mexico,2.67418538,4.239316657,6.429719478,4.161808771
Micronesia (country),-3.012617217,5.820297048,3.258096538,5.070349698
Moldova,1.423237133,5.702000361,0,4.563392623
Mongolia,2.874348658,4.968433402,0,0.692915079
Montenegro,1.856409082,5.174343558,0,3.834560485
Morocco,3.426787189,5.344149824,1.609437912,4.378582918
Mozambique,3.072379758,5.831266835,2.708050201,3.595433926
Myanmar,1.85167812,4.214709292,3.871201011,4.403983164
Namibia,3.634711797,5.506798972,2.079441542,1.071007828
Nepal,3.162349578,6.528958845,1.945910149,5.261465289
Netherlands,2.419811036,3.923326064,0,6.232055012
New Zealand,3.482631609,5.736472137,4.836281907,2.905868479
Nicaragua,3.617003894,4.723363495,2.564949357,3.971361109
Niger,2.851694021,5.700624862,0,2.836388771
Nigeria,2.634014896,5.386758567,2.63905733,5.345074463
North Korea,0.890086994,3.899118218,0,5.352775037
North Macedonia,2.267379087,5.130617161,0,4.413444997
Northern Mariana Islands,2.037244883,5.583710203,1.945910149,4.811707041
Norway,2.839458092,4.134336403,0,2.670872796
Oman,0.944968828,5.057042929,1.386294361,2.713083501
Pakistan,2.510784355,6.533124337,1.945910149,5.597309624
Palestine,2.123368931,5.544395319,0,6.606651309
Panama,3.039363438,4.621690986,4.406719247,4.014705248
Papua New Guinea,1.120350918,5.796547506,6.234410726,2.924922069
Paraguay,2.661289502,4.500007166,0.693147181,2.849799392
Peru,3.059372241,4.544572417,6.216606101,3.201357617
Philippines,2.728941081,3.941153245,6.284134161,5.865697348
Poland,3.680094467,5.000459389,0.693147181,4.820472921
Portugal,3.131188441,4.378983795,2.397895273,4.722435895
Puerto Rico,1.983641416,4.51665087,3.433987204,5.926636168
Qatar,2.582429186,4.910598122,0,5.468646427
Romania,3.197115476,5.062987961,1.098612289,4.44428184
Russia,2.274896766,5.58568587,3.17805383,2.177386966
Rwanda,2.209821466,5.767662022,1.386294361,6.185486071
Saint Lucia,2.930938231,4.658729503,1.945910149,5.692544703
Costa Rica,3.317913425,4.588691867,4.430816799,4.574132353
Cote d'Ivoire,3.130466969,5.468887099,1.791759469,4.341821711
Croatia,3.644238463,4.541230239,0,4.288875304
Cuba,2.806581398,4.851714776,0,4.693559908
Cyprus,2.925869787,4.377542784,1.098612289,4.849460847
Czechia,3.098093717,5.34981046,0,4.921555443
Democratic Republic of Congo,2.627075871,5.834000873,4.753590191,3.580880674
Denmark,2.8960236,4.32437661,0,4.970677509
Djibouti,0.454030437,5.741998019,0.693147181,3.706942255
Dominica,3.090443386,4.688420188,2.564949357,4.556819925
Dominican Republic,3.267161172,4.733255753,1.386294361,5.382739845
Ecuador,3.076672375,4.59502297,5.549076085,4.213382812
Egypt,2.575360769,5.257190843,1.945910149,4.573508292
El Salvador,2.172053388,4.600336871,1.609437912,5.731096503
Equatorial Guinea,2.958381277,5.305182778,2.302585093,3.80647075
Eritrea,1.583584769,5.920350097,0.693147181,3.520195374
Estonia,3.006596782,5.418389463,0,3.411332186
